pressure	dbar
temperature_ctd	ITS-90
salinity_ctd	PSS-78
dissolved_oxygen_ctd	μmol/kg
chloropigment_ctd	μg/l
temperature_potential	ITS-90
density_potential 	km/m^3
dissolved_oxygen	μmol/kg
dissolved_inorganic_carbon	μmol/kg
alkalinity	μeq/kg
phosphate	μmol/kg
nitrate_and_nitrite	μmol/kg
silicate	μmol/kg
dissolved_organic_phosphorus	μmol/kg
dissolved_organic_nitrogen	μmol/kg
dissolved_organic_carbon	μmol/kg
total_dissolved_phosphorus	μmol/kg
total_dissolved_nitrogen	μmol/kg
low_level_nitrogen	nmol/kg
low_level_phosphorus	nmol/kg
particulate_carbon	μmol/kg
particulate_nitrogen	μmol/kg
particulate_phosphorus	nmol/kg
particulate_silica	nmol/kg
fluorometric_chlorophyll_a	μg/l
total_phaeopigment	μg/l
chlorophyllide_a	ng/l
chlorophyll_c	ng/l
peridinin	ng/l
19-prime-butanoyloxyfucoxanthin	ng/l
fucoxanthin	ng/l
19-prime-hexanoyloxyfucoxanthin	ng/l
prasinoxanthin	ng/l
violaxanthin	ng/l
diadinoxanthin	ng/l
lutein	ng/l
zeaxanthin	ng/l
chlorophyll_b	ng/l
carotene-alpha	ng/l
carotene-beta	ng/l
divinyl_chlorophyll_a	ng/l
monovinyl_chlorophyll_a	ng/l
chlorophyll_a	ng/l
heterotrophic_bacteria_abundance	x10^5/ml
prochlorococcus_abundance	x10^5/ml
synechococcus_abundance	x10^5/ml
pico_eukaryote_abundance	x10^5/ml
atp	ng/kg
gas_ch4	nmol/kg
gas_n2o	nmol/kg
